Club,Location,club_name,latitude,longitude
FC Groningen,Groningen,FC Groningen,53.2190652,6.5680077
SC Heerenveen,Heerenveen,SC Heerenveen,52.998474200000004,5.923148795038062
NEC,Nijmegen,NEC Nijmegen,51.842574850000005,5.838960628748229
PSV,Eindhoven,PSV Eindhoven,51.4392648,5.478633
RKC Waalwijk,Waalwijk,RKC Waalwijk,51.687337150000005,5.017307939950269
Sparta Rotterdama,Rotterdam,,51.9244424,4.47775
FC Twente,Enschede,Twente Enschede FC,52.2209855,6.8940537
FC Utrechtb,Utrecht,FC Utrecht,52.080985600000005,5.12768396945229
Vitesse,Arnhem,Vitesse Arnhem,51.984257,5.9108573
FC Volendam,Volendam,FC Volendam,52.4963759,5.0682736
Arouca,Arouca,FC Arouca,40.9289214,-8.2441746
Benfica,Lisbon,SL Benfica,38.7077507,-9.1365919
Boavista,Porto,Boavista FC,41.1494512,-8.6107884
Braga,Braga,SC Braga,41.5510583,-8.4280045
Casa Pia,Lisbon,Casa Pia AC,38.7077507,-9.1365919
Chaves,Chaves,GD Chaves,41.7399003,-7.4715213
Estoril,Estoril,GD Estoril Praia,38.70957065,-9.390136815849147
Famalicão,Vila Nova de Famalicão,FC Famalicão,41.4065175,-8.5187481
Gil Vicente,Barcelos,Gil Vicente FC,41.5314496,-8.6192306
Marítimo,Funchal,CS Marítimo,32.6496497,-16.9086783
Paços de Ferreira,Paços de Ferreira,FC Paços de Ferreira,41.290118,-8.378194008811969
Portimonense,Portimão,Portimonense SC,37.1375808,-8.5368426
Porto,Porto,FC Porto,41.1494512,-8.6107884
Rio Ave,Vila do Conde,Rio Ave FC,41.3540398,-8.7435403
Santa Clara,Ponta Delgada,CD Santa Clara,37.74757445,-25.672678266146384
Sporting CP,Lisbon,Sporting CP,38.7077507,-9.1365919
Vitória de Guimarães,Guimarães,Vitória Guimarães SC,41.4417677,-8.2955712
Vizela,Vizela,FC Vizela,41.3767158,-8.3083651
